ID,国家名称,所属洲,现存确诊,可疑人数,累计确诊,死亡人数,治愈人数,确认计数等级,病死率排序,死亡率,历史记录
4804318,乌克兰,欧洲,31842,0,74219,1764,40613,34,87,2.37,https://file1.dxycdn.com/2020/0315/280/3402160525692954803-135.json
4804669,哈萨克斯坦,亚洲,26760,0,94882,1091,67031,26,145,1.14,https://file1.dxycdn.com/2020/0316/156/3402290551532568675-135.json
4804219,以色列,亚洲,25803,0,76198,561,49834,33,158,0.73,https://file1.dxycdn.com/2020/0315/982/3402160514955536220-135.json
4804233,罗马尼亚,欧洲,24755,0,55241,2480,28006,42,40,4.48,https://file1.dxycdn.com/2020/0315/131/3402160534282712963-135.json
4804218,伊朗,亚洲,24634,0,314786,17617,272535,10,26,5.59,https://file1.dxycdn.com/2020/0315/596/3402160510660568739-135.json
4804239,尼日利亚,非洲,22925,0,44129,896,20308,47,100,2.03,https://file1.dxycdn.com/2020/0315/705/3402160532135406075-135.json
4804231,巴基斯坦,亚洲,20836,0,281136,6014,254286,14,96,2.13,https://file1.dxycdn.com/2020/0315/432/3402160525692777910-135.json
4804691,波多黎各,北美洲,18561,0,18791,230,0,69,144,1.22,https://file1.dxycdn.com/2020/0317/609/3402535581564582783-135.json
4804672,委内瑞拉,南美洲,18383,0,20206,174,1649,66,154,0.86,https://file1.dxycdn.com/2020/0315/824/3402176468611248153-135.json
4804174,日本,亚洲,18316,0,41455,1023,22116,50,82,2.46,https://file1.dxycdn.com/2020/0315/220/3402160536430373556-135.json
